EXHAUSTIVE LIST OF RELATIONS IN KNOWLEDGE GRAPH
===============================================

<http://www.wikidata.org/prop/P227> | Total Triples: 70
<http://www.wikidata.org/prop/P136> | Total Triples: 69
<http://www.wikidata.org/prop/direct/P136> | Total Triples: 69
<http://www.wikidata.org/prop/direct/P227> | Total Triples: 68
<http://www.wikidata.org/prop/direct-normalized/P227> | Total Triples: 68
<http://www.wikidata.org/prop/P3417> | Total Triples: 64
<http://www.wikidata.org/prop/direct/P3417> | Total Triples: 64
<http://www.wikidata.org/prop/P1081> | Total Triples: 64
<http://www.wikidata.org/prop/P4073> | Total Triples: 57
<http://www.wikidata.org/prop/P691> | Total Triples: 56
<http://www.wikidata.org/prop/direct/P4073> | Total Triples: 55
<http://www.wikidata.org/prop/P3984> | Total Triples: 54
<http://www.wikidata.org/prop/direct/P12800> | Total Triples: 54
<http://www.wikidata.org/prop/P12800> | Total Triples: 54
<http://www.wikidata.org/prop/direct/P691> | Total Triples: 53
<http://www.wikidata.org/prop/direct/P400> | Total Triples: 52
<http://www.wikidata.org/prop/P400> | Total Triples: 52
<http://www.wikidata.org/prop/direct/P11924> | Total Triples: 51
<http://www.wikidata.org/prop/P244> | Total Triples: 51
<http://www.wikidata.org/prop/P11924> | Total Triples: 51
<http://www.wikidata.org/prop/direct-normalized/P244> | Total Triples: 50
<http://www.wikidata.org/prop/P1411> | Total Triples: 50
<http://www.wikidata.org/prop/direct/P244> | Total Triples: 50
<http://www.wikidata.org/prop/direct/P170> | Total Triples: 49
<http://www.wikidata.org/prop/P4969> | Total Triples: 49
<http://www.wikidata.org/prop/P170> | Total Triples: 49
<http://www.wikidata.org/prop/P150> | Total Triples: 49
<http://www.wikidata.org/prop/direct/P4969> | Total Triples: 49
<http://www.wikidata.org/prop/P13031> | Total Triples: 48
<http://www.wikidata.org/prop/direct/P13031> | Total Triples: 48
<http://www.wikidata.org/prop/direct/P150> | Total Triples: 48
<http://www.wikidata.org/prop/P348> | Total Triples: 46
<http://www.wikidata.org/prop/direct/P13591> | Total Triples: 45
<http://www.wikidata.org/prop/P13591> | Total Triples: 45
<http://www.wikidata.org/prop/P161> | Total Triples: 44
<http://www.wikidata.org/prop/P2250> | Total Triples: 44
<http://www.wikidata.org/prop/direct/P161> | Total Triples: 44
<http://www.wikidata.org/prop/P735> | Total Triples: 43
<http://www.wikidata.org/prop/direct/P750> | Total Triples: 43
<http://www.wikidata.org/prop/direct/P3984> | Total Triples: 41
<http://www.wikidata.org/prop/direct/P735> | Total Triples: 40
<http://www.wikidata.org/prop/P5247> | Total Triples: 40
<http://www.wikidata.org/prop/direct/P5247> | Total Triples: 40
<http://leagueoflegends.knowledge/ontology#mechanicName> | Total Triples: 20
<http://leagueoflegends.knowledge/ontology#playstyleTagName> | Total Triples: 18
<http://leagueoflegends.knowledge/ontology#ccEffectName> | Total Triples: 17
<http://www.w3.org/2000/01/rdf-schema#comment> | Total Triples: 17
<http://leagueoflegends.knowledge/ontology#regionName> | Total Triples: 15
<http://leagueoflegends.knowledge/ontology#resourceName> | Total Triples: 13
<http://leagueoflegends.knowledge/ontology#roleName> | Total Triples: 6
<http://leagueoflegends.knowledge/ontology#positionName> | Total Triples: 5
<http://www.w3.org/2000/01/rdf-schema#subClassOf> | Total Triples: 2
<http://www.w3.org/2002/07/owl#inverseOf> | Total Triples: 1
<http://www.w3.org/2002/07/owl#versionInfo> | Total Triples: 1
